"col","row","lon","lat","spring_resource_quality_2023","spring_resource_quality_2022","spring_resource_quality_2021","spring_resource_quality_2020","spring_resource_quality_2019","spring_resource_quality_2018","spring_resource_quality_2017","spring_resource_quality_2016","spring_resource_quality_2015","spring_resource_quality_2014","spring_resource_quality_2013","spring_resource_quality_2012","spring_resource_quality_2011","spring_resource_quality_2010","spring_resource_quality_2009","spring_resource_quality_2008"
1083,184,-79.8749999999964,42.2500000000014,0.440008734636479,0.439648856611939,0.444263705315891,0.443352615215757,0.440663852133192,0.443493409468247,0.443442145231608,0.452001741394266,0.456370446542362,0.440599984601811,0.477954680935757,0.431425277606861,0.449127880866463,0.461593813643799,0.441670863988163,0.423942995500994
1084,184,-79.8333333333297,42.2500000000014,0.387044689371808,0.380357646811962,0.396349983703715,0.398562037528479,0.399513819246484,0.401340304563181,0.414568902417234,0.411833903666387,0.412910636501062,0.39320649693701,0.412382417978881,0.419653871478122,0.443739815398746,0.410927814826303,0.406643538547734,0.408175439529214
1085,184,-79.791666666663,42.2500000000014,0.36810419021352,0.363814533450885,0.376248116744099,0.376765880030076,0.376493227544549,0.378591223359299,0.390951898273283,0.386633263346211,0.387821716532575,0.384580617937491,0.387619355088534,0.391039727992264,0.421626392398909,0.388802236177618,0.385893118858261,0.388022918006423
1086,184,-79.7499999999964,42.2500000000014,0.399768717932355,0.395213004266118,0.419542844979408,0.408384005936284,0.410335874247131,0.415534703311947,0.428179747882047,0.423350717117193,0.424170019176451,0.427233998897418,0.422476005863642,0.429200708051068,0.455978928656491,0.4097509460503,0.413753008389355,0.416483381346365
1081,185,-79.9583333333297,42.2083333333347,0.553361920103881,0.557139212570622,0.556936858497288,0.571050694037602,0.573153445618568,0.564709025099044,0.58990879301189,0.580371845691259,0.590649956627046,0.548345378512703,0.594374576083048,0.595143811128714,0.576170742197854,0.57362788582194,0.576276716389745,0.56513588613755
1082,185,-79.916666666663,42.2083333333347,0.419133463041205,0.416465685509056,0.427140911838213,0.433620156380447,0.434928120132105,0.432293647541728,0.445579570057385,0.446322852269214,0.445402999478619,0.432656127466442,0.438243426746076,0.44480436539294,0.422246048841862,0.427116025271701,0.427056917736889,0.4222180987468
1083,185,-79.8749999999964,42.2083333333347,0.342811089138606,0.335949971890339,0.345702915364125,0.345977522151499,0.347225772040324,0.348259196499129,0.353436411893072,0.356622960148694,0.352160678821491,0.351087519356811,0.352497106553785,0.354102694111326,0.347994401173337,0.35089999528379,0.348035694673665,0.351192777034866
1084,185,-79.8333333333297,42.2083333333347,0.430797884024008,0.425905984358856,0.436970167160539,0.439366197072372,0.44091837717066,0.438218347720252,0.443791470654134,0.449069683304713,0.449622954798304,0.444285323705569,0.440683790846846,0.431436088842064,0.44151501124459,0.428577916910669,0.436901815081087,0.442488872498804
1085,185,-79.791666666663,42.2083333333347,0.431120739625152,0.427263906378949,0.437663816228464,0.438693393316384,0.443587117239463,0.44476137403962,0.45844538028272,0.457815649061477,0.456768570383293,0.448112118233559,0.449893223937334,0.446905869640861,0.470369168382627,0.433394569805706,0.436548752036984,0.441286080796224
1086,185,-79.7499999999964,42.2083333333347,0.502126244859544,0.502096659360745,0.509075188441745,0.512772194152052,0.516298136045356,0.506860551116274,0.517969968754369,0.528286798517662,0.517389939845861,0.507637313538696,0.504170971255455,0.496370742641895,0.513194916801302,0.49769918207131,0.490336638267202,0.492008252193457
1077,186,-80.1249999999964,42.1666666666681,0.399309093947755,0.400935606895397,0.401932311953901,0.407137895073681,0.390427209311406,0.393250394532791,0.37056776855695,0.3688266314279,0.371204474539441,0.367890645827765,0.358030837270623,0.423668832403573,0.381437816336228,0.344395604570559,0.310772729773301,0.332764414661515
